UID        PID  PPID  C STIME TTY          TIME CMD
prashan+  1895  1689  0 21:35 ?        00:00:00 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
prashan+  1911  1809  0 21:35 ?        00:00:00 /usr/lib/ibus/ibus-engine-simple
prashan+  1924  1689  0 21:35 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard-service --use-gtk
prashan+  1926  1689  0 21:35 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
prashan+  1930  1689  0 21:35 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
prashan+  1931  1689  0 21:35 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
prashan+  1934  1689  0 21:35 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
prashan+  1935  1689  0 21:35 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
prashan+  1938  1689  0 21:35 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
prashan+  1961  1689  0 21:35 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
prashan+  1964  1689  0 21:35 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
prashan+  1965  1689  0 21:35 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
colord    1983     1  0 21:35 ?        00:00:00 /usr/lib/colord/colord
prashan+  1988  1689  0 21:35 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
prashan+  1993  1689  0 21:35 ?        00:00:00 /usr/lib/dconf/dconf-service
prashan+  2011  1689  0 21:35 ?        00:00:00 /usr/lib/x86_64-linux-gnu/notify-osd
prashan+  2043  1839  6 21:35 ?        00:03:29 compiz
prashan+  2054  1689  0 21:35 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
prashan+  2056  1839  0 21:35 ?        00:00:00 nm-applet
prashan+  2060  1839  0 21:35 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
prashan+  2066  1839  0 21:35 ?        00:00:00 nautilus -n
prashan+  2069  1839  0 21:35 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
prashan+  2075  1689  0 21:35 ?        00:00:00 /usr/lib/x86_64-linux-gnu/gconf/gconfd-2
prashan+  2080  1689  0 21:35 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
root      2089     1  0 21:35 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
prashan+  2099  1689  0 21:35 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
prashan+  2104  1689  0 21:35 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
prashan+  2110  1689  0 21:35 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
root      2126     1  0 21:35 ?        00:00:00 /usr/sbin/cupsd -f
lp        2129  2126  0 21:35 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus:// 
lp        2130  2126  0 21:35 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus:// 
lp        2131  2126  0 21:35 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus:// 
lp        2132  2126  0 21:35 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus:// 
prashan+  2136  1689  0 21:35 ?        00:00:00 /usr/lib/gvfs/gvfsd-burn --spawner :1.6 /org/gtk/gvfs/exec_spaw/0
prashan+  2141  1689  0 21:35 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.6 /org/gtk/gvfs/exec_spaw/1
prashan+  2170  1689  0 21:36 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-scope-home/unity-scope-home
prashan+  2183  1689  0 21:36 ?        00:00:00 /usr/bin/unity-scope-loader applications/applications.scope applications/scopes.scope commands.scope
prashan+  2184  1689  0 21:36 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-lens-files/unity-files-daemon
prashan+  2192  1689  0 21:36 ?        00:00:00 /usr/bin/zeitgeist-daemon
prashan+  2207  1689  0 21:36 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-lens-music/unity-music-daemon
prashan+  2213  1689  0 21:36 ?        00:00:00 /usr/lib/x86_64-linux-gnu/zeitgeist-fts
prashan+  2214  1689  0 21:36 ?        00:00:00 zeitgeist-datahub
prashan+  2221  2213  0 21:36 ?        00:00:00 /bin/cat
prashan+  2231  1839  0 21:36 ?        00:00:00 telepathy-indicator
prashan+  2240  1689  0 21:36 ?        00:00:00 /usr/lib/telepathy/mission-control-5
prashan+  2276  1689  0 21:36 ?        00:00:00 /usr/lib/gvfs/gvfsd-http --spawner :1.6 /org/gtk/gvfs/exec_spaw/2
prashan+  2306  1689  0 21:36 ?        00:00:01 gnome-terminal
prashan+  2339  2306  0 21:36 ?        00:00:00 gnome-pty-helper
prashan+  2340  2306  0 21:36 pts/8    00:00:00 bash
prashan+  2380  1839  0 21:36 ?        00:00:00 update-notifier
prashan+  2402  1689  0 21:37 ?        00:00:05 /usr/bin/python3 /usr/bin/update-manager --no-update --no-focus-on-map
prashan+  2486  1839  0 21:37 ?        00:00:00 /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
root      5300     1  0 21:40 ?        00:00:22 /usr/bin/docker -d
root      5840     2  0 22:00 ?        00:00:00 [kworker/0:1]
root      6017     2  0 22:12 ?        00:00:00 [kworker/0:0]
root      6080  1009  0 22:15 ?        00:00:00 /sbin/dhclient -d -sf /usr/lib/NetworkManager/nm-dhcp-client.action -pf /run/sendsigs.omit.d/network-manager.dhclient-eth0.pid -lf /var/lib/NetworkManager/dhclient-02d0175d-83fb-4fed-a370-03bcb8e0bb0d-eth0.lease -cf /var/lib/NetworkManager/dhclient-eth0.conf eth0
root      6181     2  0 22:17 ?        00:00:00 [kworker/u2:1]
root      6182   799  0 22:17 ?        00:00:00 sshd: prashanth [priv]
prashan+  6240  6182  0 22:18 ?        00:00:00 sshd: prashanth@pts/0
prashan+  6241  6240  0 22:18 pts/0    00:00:00 -bash
prashan+  6273  1689  0 22:24 ?        00:00:00 /usr/lib/unity/unity-panel-service --lockscreen-mode
prashan+  6283  6241  0 22:25 pts/0    00:00:00 ps -afe
